"sektor","kön","månad","tabellinnehåll","Antal pågående anställningar"
"samtliga sektorer","män","2015M04","Antal pågående anställningar",..
"samtliga sektorer","män","2015M04","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2015M04","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2015M04","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2015M04","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2015M04","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2015M05","Antal pågående anställningar",..
"samtliga sektorer","män","2015M05","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2015M05","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2015M05","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2015M05","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2015M05","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2015M06","Antal pågående anställningar",..
"samtliga sektorer","män","2015M06","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2015M06","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2015M06","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2015M06","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2015M06","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2015M07","Antal pågående anställningar",..
"samtliga sektorer","män","2015M07","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2015M07","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2015M07","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2015M07","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2015M07","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2015M08","Antal pågående anställningar",..
"samtliga sektorer","män","2015M08","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2015M08","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2015M08","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2015M08","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2015M08","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2015M09","Antal pågående anställningar",..
"samtliga sektorer","män","2015M09","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2015M09","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2015M09","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2015M09","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2015M09","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2015M10","Antal pågående anställningar",..
"samtliga sektorer","män","2015M10","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2015M10","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2015M10","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2015M10","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2015M10","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2015M11","Antal pågående anställningar",..
"samtliga sektorer","män","2015M11","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2015M11","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2015M11","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2015M11","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2015M11","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2015M12","Antal pågående anställningar",..
"samtliga sektorer","män","2015M12","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2015M12","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2015M12","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2015M12","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2015M12","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2016M01","Antal pågående anställningar",..
"samtliga sektorer","män","2016M01","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2016M01","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2016M01","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2016M01","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2016M01","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2016M02","Antal pågående anställningar",..
"samtliga sektorer","män","2016M02","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2016M02","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2016M02","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2016M02","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2016M02","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2016M03","Antal pågående anställningar",..
"samtliga sektorer","män","2016M03","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2016M03","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2016M03","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2016M03","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2016M03","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2016M04","Antal pågående anställningar",..
"samtliga sektorer","män","2016M04","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2016M04","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2016M04","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2016M04","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2016M04","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2016M05","Antal pågående anställningar",..
"samtliga sektorer","män","2016M05","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2016M05","Antal pågående anställningar - anställningstid <=6 månader",..
"samtliga sektorer","män","2016M05","Årlig förändring av antalet pågående anställningar, procent",..
"samtliga sektorer","män","2016M05","Årlig förändring av antalet pågående anställningar - anställningstid >6 månader, procent",..
"samtliga sektorer","män","2016M05","Årlig förändring av antalet pågående anställningar - anställningstid <=6 månader, procent",..
"samtliga sektorer","män","2016M06","Antal pågående anställningar",..
"samtliga sektorer","män","2016M06","Antal pågående anställningar - anställningstid >6 månader",..
"samtliga sektorer","män","2016M06","Antal pågående anställningar - anställningstid <=6 månader",..
